Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1163017,-,-,-,43.45,-76.5,-5,89,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature,Pressure
2014,1,1,0,0,0,0,-5,1010.0
2014,1,1,0,30,0,0,-5,1010.0
2014,1,1,1,0,0,0,-5,1010.0
2014,1,1,1,30,0,0,-5,1010.0
2014,1,1,2,0,0,0,-5,1010.0
2014,1,1,2,30,0,0,-5,1010.0
2014,1,1,3,0,0,0,-5,1010.0
2014,1,1,3,30,0,0,-5,1010.0
2014,1,1,4,0,0,0,-5,1010.0
2014,1,1,4,30,0,0,-5,1010.0
2014,1,1,5,0,0,0,-6,1010.0
2014,1,1,5,30,0,0,-6,1010.0
2014,1,1,6,0,0,0,-6,1010.0
2014,1,1,6,30,0,0,-6,1010.0
2014,1,1,7,0,0,0,-6,1010.0
2014,1,1,7,30,0,0,-6,1010.0
2014,1,1,8,0,4,0,-6,1010.0
2014,1,1,8,30,13,0,-5,1010.0
2014,1,1,9,0,24,0,-5,1010.0
2014,1,1,9,30,56,0,-5,1010.0
2014,1,1,10,0,116,216,-5,1010.0
2014,1,1,10,30,104,468,-5,1010.0
2014,1,1,11,0,156,136,-5,1010.0
2014,1,1,11,30,131,0,-5,1010.0
2014,1,1,12,0,156,29,-5,1010.0
2014,1,1,12,30,149,17,-5,1010.0
2014,1,1,13,0,151,32,-5,1010.0
2014,1,1,13,30,149,73,-5,1010.0
2014,1,1,14,0,132,71,-6,1010.0
2014,1,1,14,30,110,173,-6,1010.0
2014,1,1,15,0,78,0,-6,1010.0
2014,1,1,15,30,51,0,-6,1010.0
2014,1,1,16,0,24,0,-7,1010.0
2014,1,1,16,30,0,0,-7,1010.0
2014,1,1,17,0,0,0,-8,1010.0
2014,1,1,17,30,0,0,-8,1010.0
2014,1,1,18,0,0,0,-8,1010.0
2014,1,1,18,30,0,0,-8,1010.0
2014,1,1,19,0,0,0,-9,1010.0
2014,1,1,19,30,0,0,-9,1010.0
2014,1,1,20,0,0,0,-9,1010.0
2014,1,1,20,30,0,0,-9,1010.0
2014,1,1,21,0,0,0,-10,1010.0
2014,1,1,21,30,0,0,-10,1010.0
2014,1,1,22,0,0,0,-10,1010.0
2014,1,1,22,30,0,0,-10,1010.0
2014,1,1,23,0,0,0,-11,1010.0
2014,1,1,23,30,0,0,-11,1010.0
2014,1,2,0,0,0,0,-11,1010.0
2014,1,2,0,30,0,0,-11,1010.0
2014,1,2,1,0,0,0,-11,1010.0
2014,1,2,1,30,0,0,-11,1010.0
2014,1,2,2,0,0,0,-11,1010.0
2014,1,2,2,30,0,0,-11,1010.0
2014,1,2,3,0,0,0,-11,1010.0
2014,1,2,3,30,0,0,-11,1010.0
2014,1,2,4,0,0,0,-11,1010.0
2014,1,2,4,30,0,0,-11,1010.0
2014,1,2,5,0,0,0,-11,1010.0
2014,1,2,5,30,0,0,-11,1010.0
2014,1,2,6,0,0,0,-11,1010.0
2014,1,2,6,30,0,0,-11,1010.0
2014,1,2,7,0,0,0,-11,1010.0
2014,1,2,7,30,0,0,-11,1010.0
2014,1,2,8,0,11,0,-11,1010.0
2014,1,2,8,30,41,36,-10,1010.0
2014,1,2,9,0,69,74,-10,1010.0
2014,1,2,9,30,66,0,-10,1010.0
2014,1,2,10,0,81,0,-10,1000.0
2014,1,2,10,30,107,0,-10,1000.0
2014,1,2,11,0,145,31,-10,1000.0
2014,1,2,11,30,49,0,-10,1000.0
2014,1,2,12,0,106,0,-10,1000.0
2014,1,2,12,30,118,0,-10,1000.0
2014,1,2,13,0,113,0,-10,1000.0
2014,1,2,13,30,99,0,-10,1000.0
