Time,Value
0.0,249.819962414
1.0,194.325036647
2.0,233.663044333
3.0,236.158945493
4.0,228.645359314
5.0,198.360531224
6.0,109.373021344
7.0,142.078087162
8.0,157.043495687
9.0,113.335574221
10.0,122.757220097
11.0,39.1439266361
12.0,30.5969470191
13.0,203.208901999
14.0,517.379425798
15.0,744.385040439
16.0,622.71057418
17.0,656.093733579
18.0,812.568709065
19.0,657.921556272
20.0,579.887051836
21.0,811.624845734
22.0,838.802528576
23.0,950.24596514
24.0,682.235275023
25.0,901.442003803
26.0,543.083080047
27.0,366.514215344
28.0,347.144714418
29.0,249.281411239
30.0,358.509497064
31.0,190.999886749
32.0,251.008771035
33.0,239.253820419
34.0,104.659699808
35.0,82.1621510095
36.0,24.988659921
37.0,119.133866762
38.0,11.1819316204
39.0,36.8112860542
40.0,53.2874002347
41.0,112.073788358
42.0,202.895296073
43.0,227.548694334
44.0,266.146264208
45.0,278.751943361
46.0,289.000816683
47.0,252.296372581
48.0,197.758785155
49.0,190.167915272
50.0,209.306559042
51.0,270.807913697
52.0,241.684350561
53.0,295.084731567
54.0,263.943942986
55.0,263.887555282
56.0,155.026484494
57.0,126.087930938
58.0,126.045723373
59.0,97.6550284862
60.0,83.8010878334
61.0,61.5014152479
62.0,26.1686384474
63.0,190.78570441
64.0,120.183641903
65.0,124.889886194
66.0,164.904368972
67.0,210.111906651
68.0,163.475762801
69.0,104.081916099
70.0,142.900777696
71.0,161.198795113
72.0,154.570580917
73.0,146.735303628
74.0,227.914721169
75.0,271.156868164
76.0,267.708860368
77.0,276.402964676
78.0,206.26132604
79.0,212.68002525
80.0,205.349590908
81.0,203.314731211
82.0,217.230398457
83.0,212.368589274
84.0,155.284359456
85.0,46.0909468976
86.0,11.5636676957
87.0,94.6275792778
88.0,149.949032317
89.0,168.765802182
90.0,154.904317934
91.0,177.383888596
92.0,213.202637271
93.0,147.38351156
94.0,176.828756676
95.0,203.76446775
96.0,183.977583642
97.0,154.718704906
98.0,98.4588026945
99.0,76.8966415804
100.0,88.0757294072
101.0,157.708007147
102.0,140.525985386
103.0,38.0285249397
104.0,42.0308506803
105.0,80.8851775018
106.0,110.501094425
107.0,316.582509679
108.0,116.611338728
109.0,32.9883604809
110.0,36.5395291846
111.0,190.249403354
112.0,159.018296567
113.0,239.362186586
114.0,240.579790418
115.0,183.343638909
116.0,170.885215594
117.0,226.876343177
118.0,201.912923014
119.0,250.302240972
120.0,259.009997919
121.0,277.952916205
122.0,283.401838006
123.0,215.354829034
124.0,268.240561343
125.0,171.900816326
126.0,164.280883648
127.0,113.569956991
128.0,59.6165844041
129.0,63.7020039052
130.0,40.3251622113
131.0,79.1611137235
132.0,103.513712909
133.0,10.2351687908
134.0,5.03834721671
135.0,119.143069105
136.0,161.91744985
137.0,126.804141066
138.0,126.210590269
139.0,125.659118715
140.0,219.139068302
141.0,237.694928809
142.0,212.346202887
143.0,190.295729295
144.0,204.359054152
145.0,197.049488539
146.0,191.41024419
147.0,147.796854385
148.0,152.248801572
149.0,65.1104053469
150.0,61.4702694836
151.0,69.8738093167
152.0,83.4131396877
153.0,0.896388078099
154.0,29.4967237392
155.0,53.3747054908
156.0,19.9473005452
157.0,69.1095336648
158.0,163.789351575
159.0,109.727666628
160.0,121.435405468
161.0,164.994198079
162.0,235.197163416
163.0,218.299016566
164.0,234.997134382
165.0,232.441339531
166.0,381.449056764
167.0,368.474273049
168.0,237.740253704
169.0,197.674482498
170.0,197.462203261
171.0,154.979607598
172.0,126.567644698
173.0,126.539172585
174.0,110.749503894
175.0,137.545874737
176.0,117.33134121
177.0,153.471656583
178.0,133.416092916
179.0,217.861295722
180.0,162.915373093
181.0,256.098409608
182.0,61.179787364
183.0,100.702133921
184.0,72.2866905346
185.0,72.7423267906
186.0,46.1522983656
187.0,48.754575509
188.0,411.222180133
189.0,18.9494401069
190.0,139.866925457
191.0,117.456570571
192.0,188.457663412
193.0,167.204653698
194.0,100.001618207
195.0,166.021706967
196.0,114.701644689
197.0,109.874440585
198.0,137.194872952
199.0,7.68870404105
200.0,110.280304399
201.0,26.9959461436
202.0,19.6182948528
203.0,39.1082288414
204.0,0.318259710572
205.0,44.3522908473
206.0,43.6560900097
207.0,103.975004448
208.0,112.673840849
209.0,233.782401636
210.0,438.285086218
211.0,229.805469621
212.0,139.940363656
213.0,101.811183889
214.0,127.282795709
215.0,109.421202602
216.0,107.751425786
217.0,101.697803504
218.0,79.2746178982
219.0,89.5893281936
220.0,83.7650263588
221.0,57.6898255891
222.0,26.2421887471
223.0,12.401787644
224.0,1.89926168924
225.0,25.8102922132
226.0,52.8544761774
227.0,64.2363614627
228.0,60.0184713426
229.0,99.263902184
230.0,102.087360312
231.0,164.136361968
232.0,182.754521532
233.0,193.767814858
234.0,221.341460156
235.0,253.839976075
236.0,276.15201449
237.0,303.341118531
238.0,298.878600307
239.0,324.166721544
240.0,277.723453598
241.0,277.609342769
242.0,194.918249286
243.0,200.11050335
244.0,238.380916311
245.0,187.868938257
246.0,150.017560221
247.0,126.393989429
248.0,71.5709099319
249.0,56.4600875296
250.0,8.36950646153
251.0,251.52607721
252.0,389.191289849
253.0,239.634328512
254.0,235.727264509
255.0,282.96371332
256.0,128.489141969
257.0,109.889784933
258.0,161.117406296
259.0,157.798004537
260.0,175.165210401
261.0,206.178076001
262.0,230.812061496
263.0,285.024697954
264.0,177.195390304
265.0,266.582533167
266.0,229.740458796
267.0,193.9991597
268.0,269.320962264
269.0,181.617546206
270.0,137.483699854
271.0,207.845182645
272.0,194.503467968
273.0,180.260157411
274.0,91.4766004986
275.0,110.74872518
276.0,141.296120632
277.0,161.378961549
278.0,149.205412639
279.0,41.1134273654
280.0,119.128762529
281.0,130.834754534
282.0,156.213642399
283.0,181.556277302
284.0,169.381018652
285.0,280.968505065
286.0,309.900143969
287.0,299.912436176
288.0,286.330188425
289.0,276.750586541
290.0,268.225462176
291.0,291.161335104
292.0,275.09021251
293.0,268.507215109
294.0,262.405104526
295.0,175.046011595
296.0,186.238413851
297.0,140.899004403
298.0,136.492478408
299.0,81.7718975102
300.0,55.384642001
301.0,18.7552095534
302.0,4.66371750593
303.0,100.998778839
304.0,126.334048321
305.0,164.624410161
306.0,168.758482513
307.0,223.153364205
308.0,221.606568402
309.0,179.895245578
310.0,241.730293033
311.0,292.847598225
312.0,423.998820122
313.0,300.59606978
314.0,299.085238501
315.0,358.378865744
316.0,274.659329443
317.0,304.058642154
318.0,320.421658656
319.0,265.453386437
320.0,169.576560027
321.0,188.748139833
322.0,111.017416292
323.0,213.958524586
324.0,191.230988875
325.0,85.9981094473
326.0,38.8876592359
327.0,55.8301702263
328.0,154.052494839
329.0,211.558844176
330.0,220.070255235
331.0,256.491651198
332.0,218.320510889
333.0,149.411274854
334.0,144.532898769
335.0,147.041231729
336.0,232.339020453
337.0,255.103905641
338.0,191.011638143
339.0,152.229219782
340.0,208.952742765
341.0,130.852726857
342.0,36.8177686279
343.0,85.3555134827
344.0,70.6634505775
345.0,22.8978658407
346.0,117.520685527
347.0,73.3745175362
348.0,86.256240215
349.0,87.3618143216
350.0,155.255249392
351.0,157.60423352
352.0,266.77086303
353.0,228.4815341
354.0,217.434273378
355.0,162.222743778
356.0,207.539916491
357.0,289.318100776
358.0,199.321354891
