Time,Value
0.0,256.224383376
1.0,263.041356395
2.0,254.987117938
3.0,208.221069914
4.0,97.0124092938
5.0,159.101276053
6.0,192.925681422
7.0,119.778024249
8.0,158.451995163
9.0,17.2466609821
10.0,64.6851782032
11.0,248.167624883
12.0,449.104762959
13.0,568.711147532
14.0,467.344280758
15.0,504.207362141
16.0,635.779044061
17.0,520.896430198
18.0,504.464692953
19.0,690.234512028
20.0,716.384997756
21.0,802.557238194
22.0,621.79853616
23.0,801.2399184
24.0,573.180424934
25.0,475.235787666
26.0,486.744854218
27.0,396.616603844
28.0,536.454315851
29.0,347.067941916
30.0,440.033449622
31.0,419.657987311
32.0,259.218330692
33.0,249.640758792
34.0,181.214841249
35.0,296.742579603
36.0,159.111708983
37.0,187.895504536
38.0,66.6302172943
39.0,7.73747084705
40.0,158.753199212
41.0,182.724066625
42.0,260.812613396
43.0,271.534173828
44.0,287.101732812
45.0,186.303757706
46.0,133.435777343
47.0,151.402814486
48.0,191.727835916
49.0,321.300465182
50.0,262.495907791
51.0,433.109701629
52.0,336.111466251
53.0,394.545312228
54.0,125.987409313
55.0,121.832743752
56.0,158.692904872
57.0,124.902685857
58.0,120.032270668
59.0,95.2004073445
60.0,60.5763402935
61.0,252.129197185
62.0,142.025494403
63.0,146.986891245
64.0,208.805607553
65.0,273.259983736
66.0,195.871100413
67.0,58.2521696154
68.0,190.315800163
69.0,223.757665691
70.0,213.561133202
71.0,205.156777719
72.0,360.329584817
73.0,402.49682366
74.0,385.240093861
75.0,383.762750169
76.0,292.965649487
77.0,313.596049184
78.0,302.535735889
79.0,291.814447452
80.0,298.683340586
81.0,285.681385572
82.0,215.428397275
83.0,102.55315985
84.0,73.4558454901
85.0,72.3735573733
86.0,136.950853036
87.0,145.462341921
88.0,100.393126834
89.0,136.78551741
90.0,197.261735865
91.0,99.3074013208
92.0,156.26872864
93.0,200.239156304
94.0,176.349793136
95.0,152.985963867
96.0,102.104267755
97.0,93.6878458256
98.0,116.260018576
99.0,202.226886889
100.0,170.161730578
101.0,43.112185018
102.0,55.5887371714
103.0,82.1071537621
104.0,105.931570501
105.0,268.310709407
106.0,100.966302335
107.0,21.7634972942
108.0,46.4723076803
109.0,258.157220618
110.0,218.663132907
111.0,321.018551244
112.0,323.049252013
113.0,260.105502948
114.0,255.311871644
115.0,348.155615748
116.0,314.529937688
117.0,389.335823524
118.0,400.482139717
119.0,427.122809661
120.0,431.832040858
121.0,342.904887713
122.0,424.959431826
123.0,289.843757967
124.0,300.939245385
125.0,225.512880798
126.0,142.66247603
127.0,185.927950087
128.0,156.770777561
129.0,220.599773666
130.0,238.493363416
131.0,76.6510485809
132.0,93.7067786491
133.0,87.772323574
134.0,142.834011821
135.0,52.075849883
136.0,63.2396048635
137.0,73.3191421155
138.0,227.578197634
139.0,248.643170041
140.0,198.670587766
141.0,179.230563444
142.0,211.5979869
143.0,209.345788959
144.0,210.718532062
145.0,159.682074939
146.0,174.289084109
147.0,83.5287551141
148.0,90.5350960856
149.0,54.365800457
150.0,54.4332342857
151.0,40.8778673042
152.0,58.4360268966
153.0,84.1872183155
154.0,34.4669354438
155.0,101.411817275
156.0,209.878624227
157.0,146.018296651
158.0,171.129240578
159.0,237.964247427
160.0,323.127028178
161.0,306.540880388
162.0,334.304439657
163.0,333.200288695
164.0,510.596871998
165.0,485.236472649
166.0,331.988502888
167.0,292.301938376
168.0,312.320997599
169.0,244.743526041
170.0,210.331211563
171.0,236.450691902
172.0,222.193559748
173.0,300.382076806
174.0,263.120534927
175.0,307.943695879
176.0,267.555577221
177.0,346.950192646
178.0,261.281858768
179.0,331.477288465
180.0,114.682842267
181.0,162.962247563
182.0,119.438364934
183.0,115.321738036
184.0,75.9204687064
185.0,73.3723577606
186.0,265.822752079
187.0,5.90079385094
188.0,162.4925038
189.0,122.301782021
190.0,202.697532612
191.0,160.756943375
192.0,85.5476101287
193.0,166.812172508
194.0,101.577644129
195.0,100.027061083
196.0,134.498233443
197.0,23.3449314381
198.0,110.641079331
199.0,7.96324522764
200.0,59.5069551277
201.0,80.6902470945
202.0,32.4597163494
203.0,55.1377505044
204.0,119.198626217
205.0,187.412222231
206.0,197.636182751
207.0,347.543954557
208.0,558.751214547
209.0,309.140958495
210.0,183.473928465
211.0,105.000947922
212.0,184.400691569
213.0,131.21026357
214.0,132.544853476
215.0,114.629854006
216.0,18.9143925369
217.0,128.651139336
218.0,133.354573946
219.0,51.3334487281
220.0,54.0282550146
221.0,28.2868502816
222.0,10.6219869218
223.0,49.6290464513
224.0,93.8850619867
225.0,50.2231827355
226.0,5.26244566144
227.0,80.9997033709
228.0,69.2735245964
229.0,213.606770037
230.0,210.791608595
231.0,210.323196384
232.0,261.635107134
233.0,338.3027289
234.0,384.954195506
235.0,469.842834243
236.0,403.40156117
237.0,512.508606213
238.0,344.88572488
239.0,362.009947178
240.0,258.634651404
241.0,292.980610799
242.0,346.207921774
243.0,283.835136832
244.0,243.747473386
245.0,218.739798337
246.0,141.420820893
247.0,132.63721051
248.0,63.2285407231
249.0,181.008125914
250.0,227.738053088
251.0,193.318972166
252.0,193.703967231
253.0,265.919659259
254.0,91.090206255
255.0,100.653001175
256.0,196.434236332
257.0,201.542141659
258.0,237.464534037
259.0,292.461336206
260.0,332.443995881
261.0,404.295381662
262.0,240.91440407
263.0,403.980825955
264.0,345.048755731
265.0,299.458402817
266.0,416.145150071
267.0,290.869921058
268.0,236.110983322
269.0,358.443298891
270.0,331.041829601
271.0,310.289295638
272.0,197.255742303
273.0,233.11021586
274.0,259.618487083
275.0,265.730023014
276.0,237.975736296
277.0,104.437421986
278.0,99.439610524
279.0,84.4344022979
280.0,113.070704587
281.0,148.099820889
282.0,125.272524613
283.0,331.010016112
284.0,382.869873526
285.0,340.696516314
286.0,312.872941819
287.0,302.304516853
288.0,297.702164933
289.0,363.186486022
290.0,337.944723406
291.0,340.755593151
292.0,350.643700355
293.0,170.294487728
294.0,237.833118505
295.0,165.372240785
296.0,183.78537862
297.0,94.2639692574
298.0,70.4662634477
299.0,23.3379610927
300.0,0.201531716382
301.0,145.132840031
302.0,160.977283667
303.0,207.905000303
304.0,202.892475626
305.0,281.611346497
306.0,267.094602855
307.0,208.253579037
308.0,309.44134618
309.0,379.210196726
310.0,515.972024637
311.0,368.731275222
312.0,381.907747169
313.0,445.921586333
314.0,361.162187463
315.0,400.322819225
316.0,421.135306238
317.0,361.078767861
318.0,263.682125297
319.0,301.833657842
320.0,214.118596189
321.0,339.305775596
322.0,299.539632832
323.0,175.916150761
324.0,129.012485866
325.0,13.6699852889
326.0,133.939234943
327.0,219.881593355
328.0,206.016158138
329.0,268.994363232
330.0,155.679677516
331.0,75.1562454904
332.0,100.833567626
333.0,126.753364804
334.0,259.121087574
335.0,298.465985253
336.0,195.115158401
337.0,157.82765787
338.0,253.213035092
339.0,137.4905969
340.0,43.6121700858
341.0,105.148143223
342.0,82.114601946
343.0,24.1862168185
344.0,123.905570846
345.0,67.954067158
346.0,94.3100610443
347.0,107.418971882
348.0,194.093971559
349.0,200.183123235
350.0,328.505294765
351.0,284.4910958
352.0,284.728369379
353.0,214.687888554
354.0,300.110834922
355.0,404.08851317
356.0,278.508217698
357.0,222.867260463
358.0,214.298542015
359.0,270.638474582
360.0,367.528351049
361.0,433.431873016
362.0,484.653435462
363.0,542.192021315
364.0,556.840295464
365.0,566.16919199
366.0,480.171049295
367.0,319.455166465
368.0,359.277639546
369.0,219.120876888
370.0,125.124776592
371.0,112.879851079
372.0,97.0071423882
373.0,75.3562044412
374.0,20.6138724112
375.0,27.0540817245
376.0,142.162719347
377.0,70.3024096742
378.0,16.5718544806
379.0,42.2294491862
380.0,12.746007
381.0,60.0292228907
382.0,10.5167767487
383.0,63.0666909828
384.0,103.338187887
385.0,122.208205726
386.0,10.8953659515
387.0,91.194616291
388.0,15.9394652372
389.0,69.2611378896
390.0,71.8493508613
391.0,181.461685732
392.0,28.1238841804
393.0,87.5655653582
394.0,85.0948848832
395.0,44.3773224496
396.0,168.053420178
397.0,150.661319919
398.0,209.114302267
399.0,340.710322585
400.0,319.500839835
401.0,372.390579194
402.0,373.228846605
403.0,308.517104235
404.0,439.672029061
405.0,436.03736419
406.0,460.397121482
407.0,568.710208723
408.0,528.418201129
409.0,455.659386323
410.0,465.382513723
411.0,540.445019726
412.0,671.504215578
413.0,474.141339172
414.0,321.864296335
415.0,287.912386572
416.0,320.895282194
417.0,184.247731013
418.0,253.393087246
419.0,285.223332037
420.0,178.617486947
421.0,2.28968991642
422.0,152.639988302
423.0,36.1584909174
424.0,16.408991127
425.0,112.106403369
426.0,183.531112141
427.0,228.73602703
428.0,259.536005233
429.0,289.879784634
430.0,277.55635959
431.0,304.861856945
432.0,259.362526284
433.0,318.220651437
434.0,165.472551102
435.0,266.279867829
436.0,220.547697849
437.0,205.643571026
438.0,162.824619365
439.0,124.717944606
440.0,20.6726026032
441.0,5.65861954796
442.0,101.979831661
443.0,157.048637786
444.0,78.2204590962
445.0,185.567722146
446.0,19.4474340054
447.0,91.568919798
448.0,31.2827928114
449.0,142.215568181
450.0,173.634262166
451.0,228.482953137
452.0,459.617817131
453.0,375.228909533
454.0,541.758686214
455.0,508.590743995
456.0,524.455490621
457.0,504.16278524
458.0,404.342533544
459.0,451.088623756
460.0,361.596174111
461.0,237.183787562
462.0,352.849324549
463.0,229.824864878
464.0,247.681927015
465.0,186.482241912
466.0,255.434245649
467.0,157.772922823
468.0,85.2601918919
469.0,70.5806202673
470.0,141.042542219
471.0,102.585715094
472.0,175.771368545
473.0,23.543455453
474.0,15.7374361703
475.0,22.8830655397
476.0,8.34781970541
477.0,91.5169529364
478.0,29.2707393475
479.0,34.755956953
480.0,82.7863991851
481.0,181.001318433
482.0,311.713291969
483.0,365.959054211
484.0,223.427056362
485.0,255.009528586
486.0,322.032772006
487.0,204.593968343
488.0,190.702257756
489.0,172.232433069
490.0,24.8433172349
491.0,61.7028478332
492.0,34.3235731187
493.0,11.0952184647
494.0,53.4294968801
