Time,Value
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,71.0
17,152.0
18,233.0
19,308.0
20,292.0
21,425.0
22,463.0
23,488.0
24,497.0
25,491.0
26,391.0
27,338.0
28,137.0
29,115.0
30,90.0
31,62.0
32,33.0
33,8.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,57.0
65,122.0
66,187.0
67,246.0
68,297.0
69,390.0
70,351.0
71,391.0
72,320.0
73,307.0
74,294.0
75,203.0
76,255.0
77,215.0
78,168.0
79,116.0
80,63.0
81,16.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,31.0
113,69.0
114,108.0
115,144.0
116,176.0
117,191.0
118,249.0
119,218.0
120,196.0
121,158.0
122,222.0
123,224.0
124,154.0
125,129.0
126,101.0
127,70.0
128,38.0
129,10.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,28.0
161,62.0
162,96.0
163,128.0
164,156.0
165,20.0
166,173.0
167,257.0
168,232.0
169,122.0
170,125.0
171,50.0
172,59.0
173,50.0
174,39.0
175,27.0
176,14.0
177,4.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,4.0
209,10.0
210,15.0
211,21.0
212,25.0
213,59.0
214,120.0
215,222.0
216,217.0
217,218.0
218,209.0
219,126.0
220,159.0
221,135.0
222,107.0
223,75.0
224,43.0
225,12.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,80.0
257,168.0
258,255.0
259,335.0
260,405.0
261,461.0
262,503.0
263,529.0
264,540.0
265,534.0
266,513.0
267,477.0
268,426.0
269,362.0
270,288.0
271,205.0
272,118.0
273,37.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,65.0
305,137.0
306,209.0
307,275.0
308,333.0
309,385.0
310,445.0
311,451.0
312,475.0
313,394.0
314,504.0
315,402.0
316,353.0
317,300.0
318,236.0
319,167.0
320,95.0
321,30.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,61.0
353,130.0
354,200.0
355,264.0
356,320.0
357,353.0
358,405.0
359,429.0
360,456.0
361,427.0
362,441.0
363,388.0
364,332.0
365,283.0
366,224.0
367,159.0
368,92.0
369,30.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,33.0
401,72.0
402,111.0
403,147.0
404,179.0
405,325.0
406,207.0
407,350.0
408,249.0
409,351.0
410,286.0
411,199.0
412,106.0
413,90.0
414,72.0
415,51.0
416,30.0
417,10.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,58.0
449,123.0
450,187.0
451,246.0
452,297.0
453,316.0
454,334.0
455,394.0
456,415.0
457,380.0
458,387.0
459,379.0
460,343.0
461,293.0
462,236.0
463,170.0
464,101.0
465,36.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,13.0
497,28.0
498,43.0
499,57.0
500,69.0
501,124.0
502,50.0
503,400.0
504,128.0
505,372.0
506,131.0
507,240.0
508,11.0
509,10.0
510,8.0
511,5.0
512,3.0
513,1.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,57.0
545,122.0
546,187.0
547,247.0
548,298.0
549,361.0
550,322.0
551,326.0
552,414.0
553,412.0
554,176.0
555,164.0
556,133.0
557,114.0
558,90.0
559,64.0
560,38.0
561,14.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
