Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,149190,-,-,-,40.01,-105.26,-7,1636,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,Relative Humidity,Temperature
2017,1,1,0,0,0,0,67.08,-2
2017,1,1,0,30,0,0,67.05,-2
2017,1,1,1,0,0,0,64.34,-2
2017,1,1,1,30,0,0,64.33,-2
2017,1,1,2,0,0,0,62.46,-3
2017,1,1,2,30,0,0,62.440000000000005,-3
2017,1,1,3,0,0,0,61.31,-3
2017,1,1,3,30,0,0,61.29,-3
2017,1,1,4,0,0,0,60.51,-3
2017,1,1,4,30,0,0,60.5,-3
2017,1,1,5,0,0,0,64.77,-3
2017,1,1,5,30,0,0,64.77,-3
2017,1,1,6,0,0,0,64.63,-3
2017,1,1,6,30,0,0,64.62,-3
2017,1,1,7,0,0,0,64.81,-3
2017,1,1,7,30,0,0,60.06,-2
2017,1,1,8,0,25,519,59.59,-1
2017,1,1,8,30,36,695,51.35,0
2017,1,1,9,0,43,799,52.01,1
2017,1,1,9,30,49,864,48.35,2
2017,1,1,10,0,112,509,47.54,4
2017,1,1,10,30,55,935,44.230000000000004,4
2017,1,1,11,0,59,948,42.75,5
2017,1,1,11,30,60,957,42.730000000000004,5
2017,1,1,12,0,61,958,44.14,6
2017,1,1,12,30,61,954,44.13,6
2017,1,1,13,0,121,620,42.46,6
2017,1,1,13,30,143,477,45.56,5
2017,1,1,14,0,133,11,50.86,5
2017,1,1,14,30,113,6,54.6,4
2017,1,1,15,0,90,0,60.300000000000004,3
2017,1,1,15,30,62,0,64.83,2
2017,1,1,16,0,33,0,65.41,1
2017,1,1,16,30,8,0,65.44,0
2017,1,1,17,0,0,0,63.54,0
2017,1,1,17,30,0,0,63.56,0
2017,1,1,18,0,0,0,67.35,0
2017,1,1,18,30,0,0,67.36,0
2017,1,1,19,0,0,0,66.18,0
2017,1,1,19,30,0,0,66.17,0
2017,1,1,20,0,0,0,65.54,0
2017,1,1,20,30,0,0,65.53,0
2017,1,1,21,0,0,0,65.53,0
2017,1,1,21,30,0,0,65.53,0
2017,1,1,22,0,0,0,65.47,0
2017,1,1,22,30,0,0,65.47,0
2017,1,1,23,0,0,0,65.25,0
2017,1,1,23,30,0,0,65.25,0
2017,1,2,0,0,0,0,65.12,0
2017,1,2,0,30,0,0,65.12,0
2017,1,2,1,0,0,0,64.89,0
2017,1,2,1,30,0,0,64.9,0
2017,1,2,2,0,0,0,64.13,0
2017,1,2,2,30,0,0,64.13,0
2017,1,2,3,0,0,0,67.52,0
2017,1,2,3,30,0,0,67.52,0
2017,1,2,4,0,0,0,65.2,-1
2017,1,2,4,30,0,0,65.21000000000001,-1
2017,1,2,5,0,0,0,67.41,-2
2017,1,2,5,30,0,0,67.42,-2
2017,1,2,6,0,0,0,70.2,-3
2017,1,2,6,30,0,0,70.22,-2
2017,1,2,7,0,0,0,69.53,-2
2017,1,2,7,30,0,0,59.86,-1
2017,1,2,8,0,29,319,59.54,0
2017,1,2,8,30,47,446,55.34,1
2017,1,2,9,0,65,510,55.160000000000004,2
2017,1,2,9,30,85,535,51.33,3
2017,1,2,10,0,108,535,49.42,5
2017,1,2,10,30,61,830,49.410000000000004,5
2017,1,2,11,0,159,447,44.18,6
2017,1,2,11,30,145,548,44.17,6
2017,1,2,12,0,207,245,39.49,6
2017,1,2,12,30,208,218,42.37,6
2017,1,2,13,0,198,221,42.68,6
2017,1,2,13,30,177,64,45.83,5
2017,1,2,14,0,157,264,51.17,5
2017,1,2,14,30,131,261,54.99,3
2017,1,2,15,0,103,247,58.11,2
2017,1,2,15,30,73,223,62.53,1
2017,1,2,16,0,43,165,62.86,0
2017,1,2,16,30,16,0,62.92,0
2017,1,2,17,0,0,0,65.89,-1
2017,1,2,17,30,0,0,71.04,-1
2017,1,2,18,0,0,0,77.47,-2
2017,1,2,18,30,0,0,77.51,-3
2017,1,2,19,0,0,0,82.8,-4
2017,1,2,19,30,0,0,82.81,-4
2017,1,2,20,0,0,0,86.3,-4
2017,1,2,20,30,0,0,86.28,-4
2017,1,2,21,0,0,0,83.49,-4
2017,1,2,21,30,0,0,83.48,-4
2017,1,2,22,0,0,0,81.36,-5
2017,1,2,22,30,0,0,81.36,-5
2017,1,2,23,0,0,0,79.44,-5
2017,1,2,23,30,0,0,79.44,-5
2017,1,3,0,0,0,0,83.99,-5
2017,1,3,0,30,0,0,84.0,-5
2017,1,3,1,0,0,0,81.93,-6
2017,1,3,1,30,0,0,81.95,-6
2017,1,3,2,0,0,0,85.45,-6
2017,1,3,2,30,0,0,85.47,-6
2017,1,3,3,0,0,0,81.78,-7
2017,1,3,3,30,0,0,81.81,-7
2017,1,3,4,0,0,0,78.56,-7
2017,1,3,4,30,0,0,78.58,-7
2017,1,3,5,0,0,0,82.93,-7
2017,1,3,5,30,0,0,82.93,-7
2017,1,3,6,0,0,0,82.21000000000001,-8
2017,1,3,6,30,0,0,82.21000000000001,-8
2017,1,3,7,0,0,0,82.22,-8
2017,1,3,7,30,0,0,76.03,-7
2017,1,3,8,0,30,7,71.38,-6
2017,1,3,8,30,64,32,66.1,-5
2017,1,3,9,0,96,48,67.33,-5
2017,1,3,9,30,126,58,62.370000000000005,-4
2017,1,3,10,0,151,71,59.31,-3
2017,1,3,10,30,168,57,54.980000000000004,-2
2017,1,3,11,0,196,124,52.7,-1
2017,1,3,11,30,193,54,48.910000000000004,0
2017,1,3,12,0,183,29,50.230000000000004,0
2017,1,3,12,30,154,7,50.21,0
2017,1,3,13,0,192,68,51.19,0
2017,1,3,13,30,184,98,51.18,0
2017,1,3,14,0,144,25,51.79,0
2017,1,3,14,30,123,19,51.79,0
2017,1,3,15,0,98,12,55.31,0
2017,1,3,15,30,69,1,55.31,-1
2017,1,3,16,0,38,0,60.01,-2
2017,1,3,16,30,10,0,60.01,-2
2017,1,3,17,0,0,0,63.300000000000004,-3
2017,1,3,17,30,0,0,63.31,-3
2017,1,3,18,0,0,0,68.21000000000001,-3
2017,1,3,18,30,0,0,68.2,-3
2017,1,3,19,0,0,0,69.19,-4
2017,1,3,19,30,0,0,69.16,-4
2017,1,3,20,0,0,0,75.96000000000001,-5
2017,1,3,20,30,0,0,75.94,-5
2017,1,3,21,0,0,0,82.9,-5
2017,1,3,21,30,0,0,82.89,-5
2017,1,3,22,0,0,0,83.17,-6
2017,1,3,22,30,0,0,83.16,-6
2017,1,3,23,0,0,0,83.04,-6
2017,1,3,23,30,0,0,83.01,-6
2017,1,4,0,0,0,0,88.56,-6
2017,1,4,0,30,0,0,88.54,-6
2017,1,4,1,0,0,0,86.5,-7
2017,1,4,1,30,0,0,86.49,-7
2017,1,4,2,0,0,0,90.86,-7
2017,1,4,2,30,0,0,90.83,-7
2017,1,4,3,0,0,0,88.25,-8
2017,1,4,3,30,0,0,88.21000000000001,-8
2017,1,4,4,0,0,0,87.16,-8
2017,1,4,4,30,0,0,87.11,-8
2017,1,4,5,0,0,0,85.92,-8
