Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1013326,-,-,-,29.69,-82.34,-5,56,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI
2014,1,1,0,0,0,0
2014,1,1,0,30,0,0
2014,1,1,1,0,0,0
2014,1,1,1,30,0,0
2014,1,1,2,0,0,0
2014,1,1,2,30,0,0
2014,1,1,3,0,0,0
2014,1,1,3,30,0,0
2014,1,1,4,0,0,0
2014,1,1,4,30,0,0
2014,1,1,5,0,0,0
2014,1,1,5,30,0,0
2014,1,1,6,0,0,0
2014,1,1,6,30,0,0
2014,1,1,7,0,0,0
2014,1,1,7,30,0,0
2014,1,1,8,0,18,0
2014,1,1,8,30,75,97
2014,1,1,9,0,67,0
2014,1,1,9,30,129,4
2014,1,1,10,0,105,0
2014,1,1,10,30,47,0
2014,1,1,11,0,56,0
2014,1,1,11,30,38,0
2014,1,1,12,0,111,0
2014,1,1,12,30,72,0
2014,1,1,13,0,155,0
2014,1,1,13,30,69,0
2014,1,1,14,0,118,0
2014,1,1,14,30,124,0
2014,1,1,15,0,121,0
2014,1,1,15,30,94,0
2014,1,1,16,0,35,0
2014,1,1,16,30,79,20
2014,1,1,17,0,41,0
2014,1,1,17,30,6,0
2014,1,1,18,0,0,0
2014,1,1,18,30,0,0
2014,1,1,19,0,0,0
2014,1,1,19,30,0,0
2014,1,1,20,0,0,0
2014,1,1,20,30,0,0
2014,1,1,21,0,0,0
2014,1,1,21,30,0,0
2014,1,1,22,0,0,0
2014,1,1,22,30,0,0
2014,1,1,23,0,0,0
2014,1,1,23,30,0,0
2014,1,2,0,0,0,0
2014,1,2,0,30,0,0
2014,1,2,1,0,0,0
2014,1,2,1,30,0,0
2014,1,2,2,0,0,0
2014,1,2,2,30,0,0
2014,1,2,3,0,0,0
2014,1,2,3,30,0,0
2014,1,2,4,0,0,0
2014,1,2,4,30,0,0
2014,1,2,5,0,0,0
2014,1,2,5,30,0,0
2014,1,2,6,0,0,0
2014,1,2,6,30,0,0
2014,1,2,7,0,0,0
2014,1,2,7,30,0,0
2014,1,2,8,0,2,0
2014,1,2,8,30,5,0
2014,1,2,9,0,8,0
2014,1,2,9,30,50,0
2014,1,2,10,0,76,0
2014,1,2,10,30,97,0
2014,1,2,11,0,206,20
2014,1,2,11,30,227,26
2014,1,2,12,0,131,0
2014,1,2,12,30,290,159
2014,1,2,13,0,280,97
2014,1,2,13,30,271,105
2014,1,2,14,0,228,38
2014,1,2,14,30,135,0
2014,1,2,15,0,100,0
2014,1,2,15,30,6,0
2014,1,2,16,0,39,0
2014,1,2,16,30,84,56
