Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,149190,-,-,-,40.01,-105.26,-7,1636,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Relative Humidity,Temperature
2016,1,1,0,0,0,0,70.41,-12
2016,1,1,0,30,0,0,70.39,-12
2016,1,1,1,0,0,0,73.92,-12
2016,1,1,1,30,0,0,73.92,-12
2016,1,1,2,0,0,0,70.58,-13
2016,1,1,2,30,0,0,70.56,-13
2016,1,1,3,0,0,0,66.41,-13
2016,1,1,3,30,0,0,66.4,-13
2016,1,1,4,0,0,0,62.21,-13
2016,1,1,4,30,0,0,62.21,-13
2016,1,1,5,0,0,0,58.88,-13
2016,1,1,5,30,0,0,58.88,-13
2016,1,1,6,0,0,0,56.18,-13
2016,1,1,6,30,0,0,56.19,-13
2016,1,1,7,0,0,0,54.35,-13
2016,1,1,7,30,0,0,46.15,-11
2016,1,1,8,0,25,592,50.870000000000005,-10
2016,1,1,8,30,37,759,43.38,-8
2016,1,1,9,0,45,862,43.06,-6
2016,1,1,9,30,51,924,36.910000000000004,-4
2016,1,1,10,0,55,969,41.99,-2
2016,1,1,10,30,59,997,36.12,-1
2016,1,1,11,0,64,1010,35.21,0
2016,1,1,11,30,66,1021,32.7,0
2016,1,1,12,0,66,1027,34.67,1
2016,1,1,12,30,60,925,32.230000000000004,1
2016,1,1,13,0,62,870,34.19,1
2016,1,1,13,30,55,899,34.19,1
2016,1,1,14,0,56,816,36.27,1
2016,1,1,14,30,33,843,39.01,0
2016,1,1,15,0,46,888,50.300000000000004,0
2016,1,1,15,30,38,805,54.17,-1
2016,1,1,16,0,28,666,46.910000000000004,-3
2016,1,1,16,30,13,395,50.620000000000005,-4
2016,1,1,17,0,0,0,51.83,-5
2016,1,1,17,30,0,0,56.04,-6
2016,1,1,18,0,0,0,60.03,-7
2016,1,1,18,30,0,0,60.03,-7
2016,1,1,19,0,0,0,63.4,-8
2016,1,1,19,30,0,0,63.4,-8
2016,1,1,20,0,0,0,57.800000000000004,-8
2016,1,1,20,30,0,0,57.79,-8
2016,1,1,21,0,0,0,50.39,-8
2016,1,1,21,30,0,0,46.54,-8
2016,1,1,22,0,0,0,40.52,-8
2016,1,1,22,30,0,0,40.52,-7
2016,1,1,23,0,0,0,36.09,-7
2016,1,1,23,30,0,0,33.35,-7
2016,1,2,0,0,0,0,29.92,-7
2016,1,2,0,30,0,0,27.67,-6
2016,1,2,1,0,0,0,25.22,-6
2016,1,2,1,30,0,0,25.22,-6
2016,1,2,2,0,0,0,26.1,-6
2016,1,2,2,30,0,0,26.09,-6
2016,1,2,3,0,0,0,27.51,-7
2016,1,2,3,30,0,0,27.5,-7
2016,1,2,4,0,0,0,29.39,-8
2016,1,2,4,30,0,0,29.39,-8
2016,1,2,5,0,0,0,32.39,-9
