Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,149190,-,-,-,40.01,-105.26,-7,1636,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,Relative Humidity,Temperature
2018,1,1,0,0,0,0,66.94,-10.200000000000001
2018,1,1,0,30,0,0,66.94,-10.200000000000001
2018,1,1,1,0,0,0,64.08,-10.200000000000001
2018,1,1,1,30,0,0,64.08,-10.200000000000001
2018,1,1,2,0,0,0,62.51,-10.200000000000001
2018,1,1,2,30,0,0,62.02,-10.100000000000001
2018,1,1,3,0,0,0,61.49,-10.0
2018,1,1,3,30,0,0,60.53,-9.8
2018,1,1,4,0,0,0,59.68,-9.600000000000001
2018,1,1,4,30,0,0,58.75,-9.4
2018,1,1,5,0,0,0,58.160000000000004,-9.200000000000001
2018,1,1,5,30,0,0,56.81,-8.9
2018,1,1,6,0,0,0,56.300000000000004,-8.700000000000001
2018,1,1,6,30,0,0,55.0,-8.4
2018,1,1,7,0,0,0,54.44,-8.1
2018,1,1,7,30,6,6,50.0,-7.0
2018,1,1,8,0,33,65,49.59,-5.9
2018,1,1,8,30,62,180,44.93,-4.6000000000000005
2018,1,1,9,0,93,163,46.13,-3.3000000000000003
2018,1,1,9,30,112,258,41.59,-1.9000000000000001
2018,1,1,10,0,104,540,42.42,-0.5
2018,1,1,10,30,141,407,38.61,0.8
2018,1,1,11,0,180,225,36.86,2.1
2018,1,1,11,30,148,498,34.82,2.9000000000000004
2018,1,1,12,0,97,767,33.21,3.8000000000000003
2018,1,1,12,30,146,538,32.480000000000004,4.1000000000000005
2018,1,1,13,0,138,537,32.28,4.4
2018,1,1,13,30,95,693,32.96,4.1000000000000005
2018,1,1,14,0,52,885,35.89,3.7
2018,1,1,14,30,48,847,38.78,2.6
2018,1,1,15,0,47,764,48.08,1.5
2018,1,1,15,30,50,526,53.56,0.0
2018,1,1,16,0,40,161,53.92,-1.4000000000000001
2018,1,1,16,30,15,151,53.92,-1.4000000000000001
2018,1,1,17,0,0,0,57.88,-3.0
2018,1,1,17,30,0,0,59.19,-3.3000000000000003
2018,1,1,18,0,0,0,60.38,-3.7
2018,1,1,18,30,0,0,61.75,-4.0
2018,1,1,19,0,0,0,62.75,-4.3
2018,1,1,19,30,0,0,63.7,-4.5
2018,1,1,20,0,0,0,64.44,-4.7
2018,1,1,20,30,0,0,65.42,-4.9
2018,1,1,21,0,0,0,65.81,-5.1000000000000005
2018,1,1,21,30,0,0,66.82000000000001,-5.300000000000001
2018,1,1,22,0,0,0,67.46000000000001,-5.6000000000000005
2018,1,1,22,30,0,0,69.02,-5.9
2018,1,1,23,0,0,0,69.67,-6.2
2018,1,1,23,30,0,0,70.82000000000001,-6.4
2018,1,2,0,0,0,0,71.41,-6.7
2018,1,2,0,30,0,0,73.64,-7.1000000000000005
2018,1,2,1,0,0,0,73.62,-7.5
2018,1,2,1,30,0,0,76.52,-8.0
2018,1,2,2,0,0,0,74.8,-8.4
2018,1,2,2,30,0,0,76.57000000000001,-8.700000000000001
2018,1,2,3,0,0,0,74.75,-8.9
2018,1,2,3,30,0,0,75.34,-9.0
2018,1,2,4,0,0,0,73.28,-9.200000000000001
2018,1,2,4,30,0,0,73.86,-9.3
2018,1,2,5,0,0,0,71.28,-9.4
2018,1,2,5,30,0,0,72.41,-9.600000000000001
2018,1,2,6,0,0,0,71.31,-9.9
2018,1,2,6,30,0,0,71.31,-9.9
2018,1,2,7,0,0,0,69.53,-9.9
2018,1,2,7,30,11,187,61.34,-8.3
2018,1,2,8,0,24,620,54.980000000000004,-6.6000000000000005
2018,1,2,8,30,32,785,48.300000000000004,-4.9
2018,1,2,9,0,35,882,41.5,-3.1
2018,1,2,9,30,39,942,36.61,-1.4000000000000001
2018,1,2,10,0,40,983,27.97,0.30000000000000004
2018,1,2,10,30,43,1010,25.29,1.7000000000000002
2018,1,2,11,0,43,1028,21.06,3.1
2018,1,2,11,30,44,1038,19.89,3.9000000000000004
2018,1,2,12,0,45,1041,19.17,4.800000000000001
2018,1,2,12,30,45,1037,18.77,5.1000000000000005
2018,1,2,13,0,45,1018,19.13,5.5
2018,1,2,13,30,42,994,19.400000000000002,5.300000000000001
2018,1,2,14,0,42,971,21.89,5.2
2018,1,2,14,30,39,936,23.97,3.9000000000000004
2018,1,2,15,0,36,885,33.660000000000004,2.7
2018,1,2,15,30,31,806,38.0,1.0
2018,1,2,16,0,25,675,36.64,-0.7000000000000001
2018,1,2,16,30,17,350,36.64,-0.7000000000000001
2018,1,2,17,0,0,0,40.64,-2.9000000000000004
2018,1,2,17,30,0,0,41.56,-3.2
2018,1,2,18,0,0,0,40.83,-3.5
2018,1,2,18,30,0,0,40.83,-3.5
2018,1,2,19,0,0,0,38.4,-3.5
2018,1,2,19,30,0,0,38.69,-3.6
2018,1,2,20,0,0,0,36.59,-3.7
2018,1,2,20,30,0,0,36.86,-3.8000000000000003
2018,1,2,21,0,0,0,34.21,-3.9000000000000004
2018,1,2,21,30,0,0,34.72,-4.1000000000000005
2018,1,2,22,0,0,0,31.26,-4.2
2018,1,2,22,30,0,0,31.26,-4.2
2018,1,2,23,0,0,0,27.72,-4.3
2018,1,2,23,30,0,0,27.51,-4.2
2018,1,3,0,0,0,0,24.61,-4.2
2018,1,3,0,30,0,0,24.79,-4.3
2018,1,3,1,0,0,0,24.91,-4.4
2018,1,3,1,30,0,0,24.54,-4.2
2018,1,3,2,0,0,0,23.97,-4.0
2018,1,3,2,30,0,0,23.44,-3.7
2018,1,3,3,0,0,0,22.78,-3.3000000000000003
2018,1,3,3,30,0,0,22.44,-3.1
2018,1,3,4,0,0,0,22.42,-2.9000000000000004
2018,1,3,4,30,0,0,22.09,-2.7
2018,1,3,5,0,0,0,22.04,-2.5
2018,1,3,5,30,0,0,22.04,-2.5
2018,1,3,6,0,0,0,21.61,-2.4000000000000004
