Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,679106,-,-,-,30.25,-97.7,-6,145,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature,Pressure
2013,1,1,0,0,0,0,13,990.0
2013,1,1,0,30,0,0,12,990.0
2013,1,1,1,0,0,0,12,990.0
2013,1,1,1,30,0,0,12,990.0
2013,1,1,2,0,0,0,12,990.0
2013,1,1,2,30,0,0,11,990.0
2013,1,1,3,0,0,0,11,990.0
2013,1,1,3,30,0,0,10,990.0
2013,1,1,4,0,0,0,10,990.0
2013,1,1,4,30,0,0,10,990.0
2013,1,1,5,0,0,0,10,1000.0
2013,1,1,5,30,0,0,9,1000.0
2013,1,1,6,0,0,0,9,1000.0
2013,1,1,6,30,0,0,8,1000.0
2013,1,1,7,0,0,0,8,1000.0
2013,1,1,7,30,0,0,8,1000.0
2013,1,1,8,0,18,0,8,1000.0
2013,1,1,8,30,45,0,8,1000.0
2013,1,1,9,0,43,0,8,1000.0
2013,1,1,9,30,116,0,8,1000.0
2013,1,1,10,0,63,0,8,1000.0
2013,1,1,10,30,120,0,8,1000.0
2013,1,1,11,0,123,0,9,1000.0
2013,1,1,11,30,263,216,9,1000.0
2013,1,1,12,0,278,132,10,1000.0
2013,1,1,12,30,280,104,10,1000.0
2013,1,1,13,0,115,0,10,1000.0
2013,1,1,13,30,179,3,10,1000.0
2013,1,1,14,0,170,1,10,1000.0
2013,1,1,14,30,140,0,10,1000.0
2013,1,1,15,0,190,68,10,1000.0
2013,1,1,15,30,79,767,9,1000.0
2013,1,1,16,0,118,221,9,1000.0
2013,1,1,16,30,55,0,8,1000.0
2013,1,1,17,0,27,0,7,1000.0
2013,1,1,17,30,5,0,6,1000.0
2013,1,1,18,0,0,0,6,1000.0
2013,1,1,18,30,0,0,6,1000.0
2013,1,1,19,0,0,0,6,1000.0
2013,1,1,19,30,0,0,5,1000.0
2013,1,1,20,0,0,0,5,1000.0
2013,1,1,20,30,0,0,5,1000.0
2013,1,1,21,0,0,0,5,1000.0
2013,1,1,21,30,0,0,4,1000.0
2013,1,1,22,0,0,0,4,1000.0
2013,1,1,22,30,0,0,4,1000.0
2013,1,1,23,0,0,0,4,1000.0
2013,1,1,23,30,0,0,3,1000.0
2013,1,2,0,0,0,0,3,1000.0
2013,1,2,0,30,0,0,3,1000.0
2013,1,2,1,0,0,0,3,1000.0
2013,1,2,1,30,0,0,2,1000.0
2013,1,2,2,0,0,0,2,1000.0
2013,1,2,2,30,0,0,2,1000.0
2013,1,2,3,0,0,0,2,1000.0
2013,1,2,3,30,0,0,2,1000.0
2013,1,2,4,0,0,0,2,1000.0
2013,1,2,4,30,0,0,1,1000.0
2013,1,2,5,0,0,0,1,1000.0
2013,1,2,5,30,0,0,1,1000.0
2013,1,2,6,0,0,0,1,1000.0
2013,1,2,6,30,0,0,1,1000.0
2013,1,2,7,0,0,0,1,1000.0
2013,1,2,7,30,0,0,1,1000.0
2013,1,2,8,0,11,0,2,1000.0
2013,1,2,8,30,51,0,2,1000.0
2013,1,2,9,0,102,16,2,1000.0
2013,1,2,9,30,133,17,2,1000.0
2013,1,2,10,0,184,104,3,1000.0
2013,1,2,10,30,200,42,3,1000.0
2013,1,2,11,0,214,31,4,1000.0
2013,1,2,11,30,260,92,4,1000.0
2013,1,2,12,0,274,99,5,1000.0
2013,1,2,12,30,269,67,5,1000.0
2013,1,2,13,0,280,118,5,1000.0
2013,1,2,13,30,270,129,5,1000.0
2013,1,2,14,0,239,62,5,1000.0
2013,1,2,14,30,227,187,5,1000.0
2013,1,2,15,0,195,193,5,1000.0
2013,1,2,15,30,160,196,5,1000.0
2013,1,2,16,0,115,272,5,1000.0
2013,1,2,16,30,82,188,4,1000.0
2013,1,2,17,0,46,124,4,1000.0
2013,1,2,17,30,11,0,3,1000.0
2013,1,2,18,0,0,0,3,1000.0
2013,1,2,18,30,0,0,3,1000.0
2013,1,2,19,0,0,0,3,1000.0
2013,1,2,19,30,0,0,2,1000.0
2013,1,2,20,0,0,0,2,1000.0
2013,1,2,20,30,0,0,2,1000.0
2013,1,2,21,0,0,0,2,1000.0
2013,1,2,21,30,0,0,1,1000.0
2013,1,2,22,0,0,0,1,1000.0
2013,1,2,22,30,0,0,1,1000.0
2013,1,2,23,0,0,0,1,1000.0
2013,1,2,23,30,0,0,0,1000.0
2013,1,3,0,0,0,0,0,1000.0
2013,1,3,0,30,0,0,0,1000.0
2013,1,3,1,0,0,0,0,1000.0
2013,1,3,1,30,0,0,0,1000.0
2013,1,3,2,0,0,0,0,1000.0
2013,1,3,2,30,0,0,0,1000.0
2013,1,3,3,0,0,0,0,1000.0
2013,1,3,3,30,0,0,0,1000.0
2013,1,3,4,0,0,0,0,1000.0
2013,1,3,4,30,0,0,0,1000.0
2013,1,3,5,0,0,0,0,1010.0
2013,1,3,5,30,0,0,0,1010.0
2013,1,3,6,0,0,0,0,1010.0
2013,1,3,6,30,0,0,0,1010.0
2013,1,3,7,0,0,0,0,1010.0
2013,1,3,7,30,0,0,0,1010.0
2013,1,3,8,0,16,0,1,1010.0
2013,1,3,8,30,38,0,2,1010.0
2013,1,3,9,0,110,141,4,1010.0
2013,1,3,9,30,144,53,5,1010.0
2013,1,3,10,0,184,192,6,1010.0
2013,1,3,10,30,192,30,7,1010.0
2013,1,3,11,0,105,0,8,1010.0
2013,1,3,11,30,171,0,8,1010.0
2013,1,3,12,0,109,0,9,1010.0
2013,1,3,12,30,87,0,9,1010.0
2013,1,3,13,0,246,35,10,1010.0
2013,1,3,13,30,157,0,10,1010.0
2013,1,3,14,0,229,42,10,1010.0
2013,1,3,14,30,229,136,10,1010.0
2013,1,3,15,0,17,0,10,1010.0
2013,1,3,15,30,69,0,9,1010.0
2013,1,3,16,0,46,0,9,1010.0
2013,1,3,16,30,6,0,8,1010.0
2013,1,3,17,0,3,0,7,1010.0
2013,1,3,17,30,0,0,6,1010.0
2013,1,3,18,0,0,0,5,1010.0
2013,1,3,18,30,0,0,5,1010.0
2013,1,3,19,0,0,0,5,1010.0
2013,1,3,19,30,0,0,4,1010.0
2013,1,3,20,0,0,0,4,1010.0
2013,1,3,20,30,0,0,4,1010.0
2013,1,3,21,0,0,0,4,1010.0
2013,1,3,21,30,0,0,4,1010.0
2013,1,3,22,0,0,0,4,1010.0
2013,1,3,22,30,0,0,3,1010.0
2013,1,3,23,0,0,0,3,1010.0
2013,1,3,23,30,0,0,3,1010.0
2013,1,4,0,0,0,0,3,1010.0
2013,1,4,0,30,0,0,3,1010.0
2013,1,4,1,0,0,0,3,1010.0
2013,1,4,1,30,0,0,3,1010.0
2013,1,4,2,0,0,0,3,1010.0
2013,1,4,2,30,0,0,3,1010.0
2013,1,4,3,0,0,0,3,1010.0
2013,1,4,3,30,0,0,3,1010.0
2013,1,4,4,0,0,0,3,1010.0
2013,1,4,4,30,0,0,2,1010.0
2013,1,4,5,0,0,0,2,1010.0
2013,1,4,5,30,0,0,1,1010.0
2013,1,4,6,0,0,0,1,1010.0
2013,1,4,6,30,0,0,1,1010.0
2013,1,4,7,0,0,0,1,1010.0
2013,1,4,7,30,0,0,1,1010.0
2013,1,4,8,0,9,0,2,1010.0
2013,1,4,8,30,61,0,2,1010.0
2013,1,4,9,0,42,0,3,1010.0
2013,1,4,9,30,104,0,4,1010.0
2013,1,4,10,0,70,0,5,1010.0
2013,1,4,10,30,125,0,6,1010.0
2013,1,4,11,0,171,2,7,1010.0
2013,1,4,11,30,221,23,7,1010.0
2013,1,4,12,0,120,0,8,1010.0
2013,1,4,12,30,139,0,8,1010.0
2013,1,4,13,0,140,0,9,1010.0
2013,1,4,13,30,162,0,9,1010.0
2013,1,4,14,0,215,25,9,1010.0
2013,1,4,14,30,122,0,9,1010.0
2013,1,4,15,0,72,0,9,1010.0
2013,1,4,15,30,40,0,8,1010.0
2013,1,4,16,0,31,0,8,1010.0
2013,1,4,16,30,20,0,7,1010.0
2013,1,4,17,0,10,0,7,1010.0
2013,1,4,17,30,2,0,6,1010.0
2013,1,4,18,0,0,0,6,1010.0
2013,1,4,18,30,0,0,6,1010.0
2013,1,4,19,0,0,0,6,1010.0
2013,1,4,19,30,0,0,5,1010.0
2013,1,4,20,0,0,0,5,1010.0
2013,1,4,20,30,0,0,5,1010.0
2013,1,4,21,0,0,0,5,1010.0
2013,1,4,21,30,0,0,5,1010.0
2013,1,4,22,0,0,0,5,1010.0
2013,1,4,22,30,0,0,5,1010.0
2013,1,4,23,0,0,0,5,1010.0
2013,1,4,23,30,0,0,5,1010.0
2013,1,5,0,0,0,0,5,1010.0
2013,1,5,0,30,0,0,5,1010.0
2013,1,5,1,0,0,0,5,1010.0
2013,1,5,1,30,0,0,4,1010.0
2013,1,5,2,0,0,0,4,1010.0
2013,1,5,2,30,0,0,4,1010.0
2013,1,5,3,0,0,0,4,1010.0
2013,1,5,3,30,0,0,4,1010.0
2013,1,5,4,0,0,0,4,1010.0
2013,1,5,4,30,0,0,4,1010.0
2013,1,5,5,0,0,0,4,1010.0
2013,1,5,5,30,0,0,4,1010.0
2013,1,5,6,0,0,0,4,1010.0
2013,1,5,6,30,0,0,4,1010.0
2013,1,5,7,0,0,0,4,1010.0
2013,1,5,7,30,0,0,4,1010.0
2013,1,5,8,0,12,0,5,1010.0
2013,1,5,8,30,31,0,5,1010.0
2013,1,5,9,0,49,0,6,1010.0
2013,1,5,9,30,69,0,7,1010.0
2013,1,5,10,0,178,60,8,1010.0
2013,1,5,10,30,148,0,9,1010.0
2013,1,5,11,0,209,25,10,1010.0
2013,1,5,11,30,251,61,10,1000.0
2013,1,5,12,0,278,108,11,1000.0
2013,1,5,12,30,286,129,12,1000.0
2013,1,5,13,0,278,252,13,1000.0
2013,1,5,13,30,237,403,13,1000.0
2013,1,5,14,0,91,875,13,1000.0
2013,1,5,14,30,87,855,13,1000.0
2013,1,5,15,0,81,832,14,1000.0
2013,1,5,15,30,75,789,13,1000.0
2013,1,5,16,0,64,739,13,1000.0
