Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1013326,-,-,-,29.69,-82.34,-5,56,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI
2013,1,1,0,0,0,0
2013,1,1,0,30,0,0
2013,1,1,1,0,0,0
2013,1,1,1,30,0,0
2013,1,1,2,0,0,0
2013,1,1,2,30,0,0
2013,1,1,3,0,0,0
2013,1,1,3,30,0,0
2013,1,1,4,0,0,0
2013,1,1,4,30,0,0
2013,1,1,5,0,0,0
2013,1,1,5,30,0,0
2013,1,1,6,0,0,0
2013,1,1,6,30,0,0
2013,1,1,7,0,0,0
2013,1,1,7,30,0,0
2013,1,1,8,0,36,327
2013,1,1,8,30,75,112
2013,1,1,9,0,68,646
2013,1,1,9,30,78,725
2013,1,1,10,0,84,784
2013,1,1,10,30,89,821
2013,1,1,11,0,91,851
2013,1,1,11,30,94,868
2013,1,1,12,0,93,883
2013,1,1,12,30,94,887
2013,1,1,13,0,275,278
2013,1,1,13,30,262,281
2013,1,1,14,0,89,862
2013,1,1,14,30,85,839
2013,1,1,15,0,198,168
2013,1,1,15,30,76,750
2013,1,1,16,0,69,673
2013,1,1,16,30,57,565
2013,1,1,17,0,40,390
2013,1,1,17,30,13,96
2013,1,1,18,0,0,0
2013,1,1,18,30,0,0
2013,1,1,19,0,0,0
2013,1,1,19,30,0,0
2013,1,1,20,0,0,0
2013,1,1,20,30,0,0
2013,1,1,21,0,0,0
2013,1,1,21,30,0,0
2013,1,1,22,0,0,0
2013,1,1,22,30,0,0
2013,1,1,23,0,0,0
2013,1,1,23,30,0,0
2013,1,2,0,0,0,0
2013,1,2,0,30,0,0
2013,1,2,1,0,0,0
2013,1,2,1,30,0,0
2013,1,2,2,0,0,0
2013,1,2,2,30,0,0
2013,1,2,3,0,0,0
2013,1,2,3,30,0,0
2013,1,2,4,0,0,0
2013,1,2,4,30,0,0
2013,1,2,5,0,0,0
2013,1,2,5,30,0,0
2013,1,2,6,0,0,0
2013,1,2,6,30,0,0
2013,1,2,7,0,0,0
2013,1,2,7,30,0,0
2013,1,2,8,0,33,339
2013,1,2,8,30,51,531
2013,1,2,9,0,65,634
2013,1,2,9,30,75,712
2013,1,2,10,0,81,766
2013,1,2,10,30,175,9
2013,1,2,11,0,194,12
2013,1,2,11,30,56,0
2013,1,2,12,0,270,293
2013,1,2,12,30,190,4
2013,1,2,13,0,149,0
2013,1,2,13,30,100,0
2013,1,2,14,0,147,0
2013,1,2,14,30,231,141
2013,1,2,15,0,183,39
2013,1,2,15,30,141,12
2013,1,2,16,0,124,158
2013,1,2,16,30,68,382
2013,1,2,17,0,47,206
2013,1,2,17,30,13,0
2013,1,2,18,0,0,0
2013,1,2,18,30,0,0
2013,1,2,19,0,0,0
2013,1,2,19,30,0,0
2013,1,2,20,0,0,0
2013,1,2,20,30,0,0
2013,1,2,21,0,0,0
2013,1,2,21,30,0,0
2013,1,2,22,0,0,0
2013,1,2,22,30,0,0
2013,1,2,23,0,0,0
2013,1,2,23,30,0,0
2013,1,3,0,0,0,0
2013,1,3,0,30,0,0
2013,1,3,1,0,0,0
2013,1,3,1,30,0,0
2013,1,3,2,0,0,0
2013,1,3,2,30,0,0
2013,1,3,3,0,0,0
