Time,Value
0.0,187.703332454
1.0,207.036254237
2.0,263.629642241
3.0,207.246909203
4.0,213.212276644
5.0,218.991722617
6.0,203.226497346
7.0,154.88378232
8.0,41.721936644
9.0,35.1712456858
10.0,66.8752193875
11.0,23.4372371542
12.0,26.7284679314
13.0,61.7423787765
14.0,168.064991349
15.0,329.706208005
16.0,525.427363155
17.0,673.260527452
18.0,673.282700177
19.0,682.747707086
20.0,749.793961463
21.0,734.570407871
22.0,706.779122046
23.0,776.63835712
24.0,806.96258036
25.0,834.722844768
26.0,792.377818496
27.0,802.639002182
28.0,746.097934044
29.0,595.214747733
30.0,518.899877719
31.0,435.751373909
32.0,518.346686
33.0,380.436194544
34.0,370.491219104
35.0,398.241022946
36.0,252.845204502
37.0,188.88746464
38.0,123.479230549
39.0,174.002548748
40.0,118.690511338
41.0,101.380270025
42.0,34.6209297819
43.0,47.6438928534
44.0,169.131303831
45.0,232.231621528
46.0,300.932316172
47.0,323.662259379
48.0,327.624078238
49.0,247.173847307
50.0,158.327748633
51.0,124.905297541
52.0,136.840301897
53.0,224.914108862
54.0,210.012398637
55.0,281.155837383
56.0,270.694722469
57.0,290.582917491
58.0,129.019527619
59.0,35.7817673864
60.0,37.669306204
61.0,17.2897489161
62.0,0.895542820075
63.0,17.3527766357
64.0,99.4399326185
65.0,282.41488003
66.0,264.370819278
67.0,231.393242985
68.0,255.555611251
69.0,302.183291126
70.0,255.331582649
71.0,144.261803589
72.0,163.493505906
73.0,197.23158533
74.0,182.914643789
75.0,150.668179061
76.0,205.027517837
77.0,273.729868668
78.0,274.097581444
79.0,262.069382177
80.0,183.989339602
81.0,158.295786456
82.0,146.536988686
83.0,134.128523862
84.0,130.283236148
85.0,124.788242752
86.0,75.4625473641
87.0,19.9133574537
88.0,76.2449992327
89.0,189.285161061
90.0,272.359948747
91.0,295.876083241
92.0,265.969853473
93.0,261.281665594
94.0,293.238633694
95.0,217.961400192
96.0,209.516444198
97.0,231.695777168
98.0,208.2033687
99.0,161.667602092
100.0,95.6951948064
101.0,46.6256755106
102.0,32.7205905059
103.0,78.5626675105
104.0,71.6496284011
105.0,32.5835057483
106.0,78.5091297262
107.0,189.027351478
108.0,257.393293484
109.0,389.321035724
110.0,328.848172287
111.0,232.014682685
112.0,211.006391015
113.0,346.999854718
114.0,376.913268173
115.0,436.274184887
116.0,457.529511128
117.0,397.883525767
118.0,360.345407043
119.0,396.964979021
120.0,380.563518129
121.0,402.995948901
122.0,409.701939629
123.0,418.048447837
124.0,412.778805071
125.0,335.964040431
126.0,344.182104022
127.0,259.053827165
128.0,207.579458149
129.0,133.04085095
130.0,30.5753465719
131.0,19.3740376042
132.0,0.9796942335
133.0,38.1481157082
134.0,65.4971127367
135.0,30.9550242068
136.0,65.1617221653
137.0,192.615723278
138.0,277.609115764
139.0,239.867272157
140.0,203.559995584
141.0,189.431117466
142.0,283.73393155
143.0,327.531322637
144.0,290.740124409
145.0,241.05526519
146.0,232.462381224
147.0,217.503791481
148.0,197.481824452
149.0,137.821579552
150.0,113.164603725
151.0,35.318930427
152.0,8.02083424359
153.0,131.17319683
154.0,191.526453029
155.0,143.264970838
156.0,109.24370178
157.0,78.9686744425
158.0,150.375534941
159.0,228.089693786
160.0,325.684907851
161.0,309.100883439
162.0,305.906830745
163.0,344.077698561
164.0,410.713627282
165.0,413.634315949
166.0,414.318778249
167.0,404.559049106
168.0,511.965534189
169.0,533.723064351
170.0,406.627996597
171.0,310.888422174
172.0,280.887641171
173.0,208.052543256
174.0,140.810732391
175.0,122.799574079
176.0,100.23369912
177.0,131.410071791
178.0,119.4031175
179.0,140.101944429
180.0,119.348174203
181.0,166.202242157
182.0,134.383114092
183.0,163.82017597
184.0,47.5354114648
185.0,25.3488281335
186.0,13.5535627647
187.0,13.5934714316
188.0,1.68223966657
189.0,6.95439909773
190.0,167.021139762
191.0,80.511726181
192.0,97.2263097222
193.0,108.857349367
194.0,145.735238125
195.0,121.619679483
196.0,36.667410899
197.0,51.0108898915
198.0,6.29562960222
199.0,29.8585061522
200.0,16.33282831
201.0,129.771970426
202.0,90.8742469924
203.0,148.378317483
204.0,221.036871191
205.0,259.374761429
206.0,228.27788571
207.0,145.770237772
208.0,228.595625764
209.0,313.202680708
210.0,335.778921717
211.0,438.808250013
212.0,616.743540368
213.0,502.311497682
214.0,338.534303991
215.0,210.67446684
216.0,207.592677371
217.0,165.220275084
218.0,115.051663011
219.0,70.060873048
220.0,10.4096727291
221.0,9.81089769946
222.0,16.5194636444
223.0,76.9810130164
224.0,173.516571465
225.0,211.989776849
226.0,235.852305318
227.0,274.601536765
228.0,321.740915581
229.0,336.152797223
230.0,298.270986132
231.0,341.804619464
232.0,333.541223478
233.0,435.839867725
234.0,478.903175091
235.0,472.846362804
236.0,495.796339207
237.0,545.908511414
238.0,580.340513752
239.0,615.649737885
240.0,601.166555799
241.0,615.906892028
242.0,521.63611301
243.0,467.667506755
244.0,350.370714444
245.0,315.84722168
246.0,335.116586162
247.0,283.363488222
248.0,227.075614902
249.0,184.54189973
250.0,126.021768804
251.0,82.9899027687
252.0,26.5225191778
253.0,177.8453941
254.0,307.908730768
255.0,314.611980795
256.0,307.400468182
257.0,355.67097241
258.0,251.241023123
259.0,195.314597487
260.0,236.712243715
261.0,254.149240765
262.0,269.853921354
263.0,301.4228871
264.0,331.442888305
265.0,388.151175376
266.0,273.017529558
267.0,322.595681402
268.0,308.485687761
269.0,245.332752941
270.0,299.766388975
271.0,228.166031582
272.0,136.171379891
273.0,188.988373553
274.0,190.067246753
275.0,164.892486318
276.0,74.7870504125
277.0,60.1411387185
278.0,80.8848224441
279.0,101.553398662
280.0,95.5791908848
281.0,8.7655503852
282.0,164.520032822
283.0,217.50984371
284.0,231.156349813
285.0,248.631938862
286.0,225.061923908
287.0,359.400425342
288.0,420.625255244
289.0,395.969069476
290.0,356.526729526
291.0,323.840860483
292.0,296.707235877
293.0,315.007597203
294.0,299.132694093
295.0,284.518777235
296.0,293.968108969
297.0,174.478109381
298.0,144.907893437
299.0,101.428456682
300.0,80.9778050521
301.0,29.3426558497
302.0,11.9404758669
303.0,50.8872445256
304.0,81.0752355661
305.0,161.040793454
306.0,212.322174391
307.0,248.920405976
308.0,254.110501141
309.0,298.740043142
310.0,301.231144156
311.0,250.113404496
312.0,279.92273829
313.0,342.981515832
314.0,451.552213732
315.0,383.825534633
316.0,339.751023601
317.0,365.290012685
318.0,311.864663942
319.0,298.423166485
320.0,309.244414953
321.0,263.598428807
322.0,168.734031992
323.0,148.795390743
324.0,87.6121812424
325.0,141.698807628
326.0,152.958891475
327.0,66.4545096472
328.0,0.292242751952
329.0,91.3725895223
330.0,235.956521146
331.0,327.603314951
